transcriptID,geneID
YBR119W_mRNA,YBR119W
YBR120C_mRNA,YBR120C
YBR121C_mRNA,YBR121C
YBR121C-A_mRNA,YBR121C-A
YBR122C_mRNA,YBR122C
YBR123C_mRNA,YBR123C
YBR124W_mRNA,YBR124W
YBR125C_mRNA,YBR125C
YBR126C_mRNA,YBR126C
YBR126W-A_mRNA,YBR126W-A
YBR126W-B_mRNA,YBR126W-B
YBR127C_mRNA,YBR127C
YBR128C_mRNA,YBR128C
YBR129C_mRNA,YBR129C
YBR130C_mRNA,YBR130C
YBR131W_mRNA,YBR131W
YBR131C-A_mRNA,YBR131C-A
YBR132C_mRNA,YBR132C
YBR133C_mRNA,YBR133C
YBR134W_mRNA,YBR134W
YBR135W_mRNA,YBR135W
YBR136W_mRNA,YBR136W
YBR137W_mRNA,YBR137W
YBR138C_mRNA,YBR138C
YBR139W_mRNA,YBR139W
YBR140C_mRNA,YBR140C
YBR141C_mRNA,YBR141C
YBR141W-A_mRNA,YBR141W-A
YBR142W_mRNA,YBR142W
YBR143C_mRNA,YBR143C
YBR144C_mRNA,YBR144C
YBR145W_mRNA,YBR145W
YBR146W_mRNA,YBR146W
YBR147W_mRNA,YBR147W
YBR148W_mRNA,YBR148W
YBR149W_mRNA,YBR149W
YBR150C_mRNA,YBR150C
YBR151W_mRNA,YBR151W
YBR152W_mRNA,YBR152W
YBR153W_mRNA,YBR153W
YBR154C_mRNA,YBR154C
YBR155W_mRNA,YBR155W
YBR156C_mRNA,YBR156C
YBR157C_mRNA,YBR157C
YBR158W_mRNA,YBR158W
YBR159W_mRNA,YBR159W
YBR160W_mRNA,YBR160W
YBR161W_mRNA,YBR161W
YBR162C_mRNA,YBR162C
YBR162W-A_mRNA,YBR162W-A
YBR163W_mRNA,YBR163W
YBR164C_mRNA,YBR164C
YBR165W_mRNA,YBR165W
YBR166C_mRNA,YBR166C
YBR167C_mRNA,YBR167C
YBR168W_mRNA,YBR168W
YBR169C_mRNA,YBR169C
YBR170C_mRNA,YBR170C
YBR171W_mRNA,YBR171W
YBR172C_mRNA,YBR172C
YBR173C_mRNA,YBR173C
YBR174C_mRNA,YBR174C
YBR175W_mRNA,YBR175W
YBR176W_mRNA,YBR176W
YBR177C_mRNA,YBR177C
YBR178W_mRNA,YBR178W
YBR179C_mRNA,YBR179C
YBR180W_mRNA,YBR180W
YBR181C_mRNA,YBR181C
YBR182C_mRNA,YBR182C
YBR182C-A_mRNA,YBR182C-A
YBR183W_mRNA,YBR183W
YBR184W_mRNA,YBR184W
YBR185C_mRNA,YBR185C
